Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
62	281.1105	2.2352228	285.58572	278.07526	259.4	71.31398	28.441172	99.207695	-16.046125	252000	9.1195105e-09	76.83009	-0.009692491	-13.737183	0.68973327	0.00521219	0.0715	79.0	315.5729603767395
63	280.2951	2.3064806	285.51825	275.57184	258.8	72.02646	28.062887	99.572845	-15.453788	256000	-9.536744e-10	109.135	-0.009355528	-29.862526	0.66484386	0.0074213683	0.095	79.0	319.97057914733887
64	281.39938	2.6345696	287.99277	277.96902	259.66666	71.078674	28.354248	99.44052	-17.532316	260000	2.3841857e-09	90.50492	-0.009619186	-12.480507	0.6569521	0.010037841	0.08525	79.0	324.90186643600464
65	281.8792	2.162385	286.7956	279.31586	260.0	70.74113	28.600649	99.11678	-14.69523	264000	-3.0994416e-09	84.803795	-0.008746161	-14.999977	0.6301555	0.0126583455	0.08875	79.0	329.831472158432
66	280.2793	2.839932	285.49625	275.4783	258.8	71.35994	28.921385	99.501816	-16.296814	268000	1.7881393e-09	83.845955	-0.009542349	-14.978981	0.63689363	0.0068287663	0.1005	79.0	334.30118584632874
67	280.9489	1.7945056	284.13272	278.12753	259.33334	71.30723	28.19014	99.613594	-16.41212	272000	1.6689301e-09	96.162994	-0.012007465	-28.825737	0.6283707	0.008460426	0.0945	79.0	339.6675457954407
68	282.43396	2.9347267	288.63937	276.68228	260.53333	71.33392	28.71177	100.16947	-16.379965	276000	3.3378602e-09	82.172676	-0.004133194	-17.100388	0.6185957	0.016984459	0.20025	4.0	343.54224467277527
69	282.60254	2.911569	289.22113	277.9858	260.66666	71.6178	28.876383	99.97109	-19.437592	280000	6.198883e-09	75.01489	-0.010631929	-11.623436	0.6188767	0.0066189487	0.07775	79.0	347.88880252838135
70	282.01746	3.0349362	287.74994	277.97803	260.2	71.01211	28.4978	100.23556	-19.486753	284000	4.7683715e-09	103.76734	-0.0114553785	-29.575531	0.60716546	0.013719546	0.1405	79.0	353.25310039520264
71	281.8471	2.217978	286.71255	278.05374	260.0	71.36915	28.065771	99.68913	-15.316563	288000	-1.3828277e-08	77.10382	-0.01147476	-17.949417	0.5978655	0.011978087	0.11125	79.0	357.7147924900055
72	281.21613	2.4749799	285.61014	278.0063	259.53333	71.6336	28.722372	100.21425	-13.175301	292000	8.5830685e-09	78.22503	-0.0119505115	-17.008621	0.5845537	0.008982101	0.115	79.0	362.1186275482178
73	282.33875	1.457453	285.56158	279.26492	260.4	71.399376	28.031353	101.43373	-21.499	296000	-1.9073487e-09	88.25083	-0.010103527	-30.382256	0.5746722	0.007974743	0.0945	79.0	367.4532392024994
74	283.14597	1.7841789	286.58432	279.24954	261.06668	70.39281	28.830645	101.17503	-16.481707	300000	3.218651e-09	77.81602	-0.010169525	-22.445267	0.568862	0.008709177	0.126	79.0	371.8973500728607
75	281.72015	1.6457664	284.2622	277.93384	259.93332	71.92012	28.189919	102.03248	-17.75272	304000	-4.768372e-10	78.10677	-0.009261011	-13.988052	0.5654804	0.0063933334	0.1055	79.0	376.2191336154938
76	282.53128	1.8311821	284.37576	277.8608	260.6	71.67559	28.619087	101.53308	-15.965475	308000	-2.384186e-10	84.974174	-0.008418354	-12.458534	0.5570553	0.00880377	0.1015	79.0	381.71734952926636
77	282.70712	2.0481036	285.61606	279.1821	260.73334	71.10975	28.246555	100.998436	-16.061815	312000	8.8214875e-09	86.987015	-0.010924229	-14.172546	0.54990935	0.0100706415	0.12125	79.0	386.28939867019653
