Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
48	-52.944138	37.350426	-10.462454	-102.236465	1000.0	-3.5097082	0.00012348895	-3.5090072	-3.5104976	196000	-6.6757204e-09	33.83036	-0.0011160922	-0.07462692	1.176425	0.0018004712	0.007	79.0	107.74755883216858
49	-63.344173	53.592316	-19.434734	-152.23161	1000.0	-3.2956622	0.0001208777	-3.29411	-3.295984	200000	2.2053719e-08	58.49927	-0.0017528823	-0.24724197	1.1723024	0.0025938735	0.0095	79.0	109.73667502403259
50	-44.12134	20.638329	-9.037041	-60.990635	1000.0	-3.6904683	0.00010161234	-3.689638	-3.6910465	204000	8.702278e-09	12.534144	-0.00084269885	-0.37473297	1.1849134	0.00096607563	0.0045	79.0	111.73849701881409
51	-111.72101	64.650475	-12.879857	-179.5221	1000.0	-3.1973672	0.00012583313	-3.196244	-3.1975694	208000	3.7550926e-08	115.12197	-0.0011943469	-20.22625	1.1965734	0.001028193	0.01725	79.0	113.7553129196167
52	-159.80493	107.98458	-24.13766	-313.95782	1000.0	-6.881067	0.00023383189	-6.8780766	-6.8823175	212000	1.3351441e-08	252.8258	-0.00722581	-23.752228	1.1914015	0.008236753	0.0525	79.0	115.76316475868225
53	-50.290985	36.675316	-11.724949	-109.43604	1000.0	-10.941254	0.0001410136	-10.940151	-10.941611	216000	-2.6702882e-08	61.796944	-0.002327486	-41.94138	1.2381288	0.0025730045	0.0095	79.0	117.79807901382446
54	-22.434849	16.352146	-4.5350094	-39.85224	1000.0	-5.6785126	9.190293e-05	-5.677992	-5.6787753	220000	3.552437e-08	16.485825	-0.0024675906	-11.890035	1.2547625	0.005046604	0.02575	79.0	119.82900094985962
55	-64.74159	32.43158	-14.317176	-102.412704	1000.0	-2.7684193	9.3554205e-05	-2.7677817	-2.7691672	224000	2.2888184e-08	34.91585	-0.00077386113	-2.5132828	1.2593268	0.0010081519	0.006	79.0	121.82591581344604
56	-100.34442	40.801018	-47.56935	-158.56062	1000.0	-4.0682535	0.00013213172	-4.0668077	-4.069193	228000	-1.3113022e-08	77.18622	-0.00089980627	-8.242233	1.2713641	0.0010392444	0.01125	79.0	123.81745886802673
57	-66.23596	25.035275	-40.731087	-107.46915	1000.0	-6.515883	0.00014070985	-6.5147815	-6.5169764	232000	-4.5895576e-09	11.218011	-0.0015664541	-0.15130329	1.2839699	0.0052983714	0.01325	79.0	125.81732392311096
58	-48.58037	33.31743	-12.078938	-102.71756	1000.0	-6.201915	0.00013511958	-6.2003727	-6.202843	236000	9.536744e-10	16.16691	-0.0023737173	-3.6494436	1.2834288	0.0016968484	0.01575	79.0	127.80513095855713
59	-80.430504	41.665443	-26.457718	-131.07553	1000.0	-4.5322394	0.00012695367	-4.531813	-4.533154	240000	5.3644182e-09	64.35634	-0.0017039235	-0.2639618	1.2806312	0.0022024103	0.0095	79.0	129.80311179161072
